City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Gornopravdinsk,60.05,69.9,10.18,95,100,7.81,RU,2022-02-06 23:23:07
115,Manta,-0.95,-80.7333,80.38,74,75,6.91,EC,2022-02-06 23:23:07
116,Hilo,19.7297,-155.09,78.53,76,100,11.5,US,2022-02-06 23:21:53
117,Uyuni,-20.4597,-66.825,58.15,39,77,6.82,BO,2022-02-06 23:23:08
118,Dikson,73.5069,80.5464,-16.83,98,95,13.27,RU,2022-02-06 23:23:08
119,Kapaa,22.0752,-159.319,78.78,74,75,3.0,US,2022-02-06 23:23:08
120,Vila Franca Do Campo,37.7167,-25.4333,61.2,85,78,12.73,PT,2022-02-06 23:23:09
121,Barrow,71.2906,-156.7887,-25.58,68,0,12.66,US,2022-02-06 23:20:32
122,Grindavik,63.8424,-22.4338,30.67,69,100,27.63,IS,2022-02-06 23:23:09
123,Horadiz,39.4488,47.3353,38.19,51,8,4.54,AZ,2022-02-06 23:23:09
124,Tasiilaq,65.6145,-37.6368,23.16,57,100,45.99,GL,2022-02-06 23:23:09
125,Hami,42.8,93.45,24.69,37,16,8.77,CN,2022-02-06 23:23:10
126,Cidreira,-30.1811,-50.2056,72.9,69,7,13.96,BR,2022-02-06 23:23:10
127,Brae,60.3964,-1.353,39.11,53,68,35.14,GB,2022-02-06 23:23:10
128,Kalmunai,7.4167,81.8167,74.82,82,95,8.25,LK,2022-02-06 23:21:50
129,Salalah,17.0151,54.0924,77.09,25,0,14.97,OM,2022-02-06 23:23:10
130,Stolin,51.8912,26.846,33.98,93,100,14.27,BY,2022-02-06 23:23:11
131,Rajanpur,29.1035,70.325,55.78,46,5,11.03,PK,2022-02-06 23:23:11
132,Palmer,42.1584,-72.3287,25.41,58,0,5.75,US,2022-02-06 23:23:11
133,Okha,53.5739,142.9478,1.76,95,100,23.8,RU,2022-02-06 23:23:12
134,Mantua,45.1667,10.7833,44.82,91,97,5.01,IT,2022-02-06 23:23:12
135,Airai,-8.9266,125.4092,65.03,83,81,1.7,TL,2022-02-06 23:23:12
136,Sayat,38.7839,63.8803,39.07,63,93,4.54,TM,2022-02-06 23:23:12
137,Gat,31.61,34.7642,54.91,100,34,7.25,IL,2022-02-06 23:24:13
138,Mkushi,-13.6202,29.3939,62.55,98,99,4.0,ZM,2022-02-06 23:24:13
139,Valparaiso,-33.0393,-71.6273,66.47,84,75,5.75,CL,2022-02-06 23:21:50
140,Hobart,-42.8794,147.3294,72.01,54,20,1.99,AU,2022-02-06 23:19:20
141,Saint-Pierre,-21.3393,55.4781,76.68,78,0,5.75,RE,2022-02-06 23:24:13
142,Izmaylovo,53.7211,47.2458,-6.9,100,96,3.96,RU,2022-02-06 23:24:14
143,Faya,18.3851,42.4509,50.11,71,3,0.65,SA,2022-02-06 23:24:14
144,Husavik,66.0449,-17.3389,21.11,90,99,9.64,IS,2022-02-06 23:24:14
145,Praia Da Vitoria,38.7333,-27.0667,60.76,94,75,17.18,PT,2022-02-06 23:24:14
146,Prieska,-29.6641,22.7474,74.1,52,56,5.39,ZA,2022-02-06 23:24:15
