City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Severo-Yeniseyskiy,RU,60.3725,93.0408,-4.07,100,95,1.81,overcast clouds
210,Sumbe,AO,-11.2061,13.8437,74.23,78,100,5.17,overcast clouds
211,San Antonio,US,29.4241,-98.4936,53.35,52,0,5.75,haze
212,Collie,AU,-33.3667,116.15,64.98,46,48,13.27,scattered clouds
213,Khatanga,RU,71.9667,102.5,-17.07,98,99,9.6,overcast clouds
214,Lavrentiya,RU,65.5833,-171.0,-15.63,95,56,5.19,broken clouds
215,Kangaatsiaq,GL,68.3065,-53.4641,7.74,86,100,25.12,overcast clouds
216,Malinovoye Ozero,RU,51.6753,79.7825,-0.27,80,4,5.86,clear sky
217,Beringovskiy,RU,63.05,179.3167,-13.88,94,17,5.17,few clouds
218,Agua Dulce,MX,18.1333,-94.1333,64.09,96,67,6.96,broken clouds
219,Bredasdorp,ZA,-34.5322,20.0403,65.28,88,13,5.75,few clouds
220,Talnakh,RU,69.4865,88.3972,-28.16,98,56,0.69,broken clouds
221,Poronaysk,RU,49.2167,143.1167,16.59,72,99,3.69,overcast clouds
222,Kantang,TH,7.4054,99.5156,86.09,66,20,3.44,few clouds
223,Buin,CL,-33.7333,-70.75,75.74,57,0,2.48,clear sky
224,Benavente,ES,42.0025,-5.6783,37.99,57,78,5.35,broken clouds
225,Melilla,ES,35.2937,-2.9383,57.58,82,75,6.91,broken clouds
226,Gamba,GA,-2.65,10.0,76.21,93,16,5.19,few clouds
227,Axim,GH,4.8699,-2.2405,77.94,88,100,3.87,overcast clouds
228,Mmabatho,ZA,-25.85,25.6333,60.76,88,20,4.61,few clouds
229,Ponta Delgada,PT,37.7333,-25.6667,60.49,88,75,10.36,broken clouds
230,Numan,NG,9.4667,12.0333,68.05,24,1,3.11,clear sky
231,Qasigiannguit,GL,68.8193,-51.1922,3.45,97,100,9.33,light snow
232,Avarua,CK,-21.2078,-159.775,78.85,78,75,11.5,broken clouds
233,Novoagansk,RU,61.9449,76.6625,-10.98,99,16,6.69,few clouds
234,Filingue,NE,14.3521,3.3168,64.76,14,0,11.05,clear sky
235,Xining,CN,36.6167,101.7667,13.23,73,84,0.96,broken clouds
236,Nidda,DE,50.4167,9.0,38.71,88,86,3.0,overcast clouds
237,Necochea,AR,-38.5473,-58.7368,59.04,64,95,12.97,overcast clouds
238,Butaritari,KI,3.0707,172.7902,81.84,76,71,15.43,moderate rain
239,Jamestown,US,42.097,-79.2353,29.79,45,0,10.36,clear sky
240,Wanning,CN,18.8003,110.3967,74.86,85,63,7.65,broken clouds
241,Sur,OM,22.5667,59.5289,69.42,65,0,11.61,clear sky
242,Mega,ET,4.05,38.3,60.19,36,35,7.02,scattered clouds
243,Odweyne,SO,9.4092,45.064,61.29,76,73,8.61,broken clouds
244,Oudtshoorn,ZA,-33.5907,22.2014,62.96,42,0,0.43,clear sky
245,Saint George,US,37.1041,-113.5841,54.19,24,0,24.16,clear sky
246,Havelock,US,34.8791,-76.9013,42.75,86,0,3.0,clear sky
247,Tsimlyansk,RU,47.6461,42.1019,30.29,95,100,9.37,overcast clouds
248,Port Augusta,AU,-32.5,137.7667,92.71,17,13,14.92,few clouds
249,Port Moresby,PG,-9.4431,147.1797,87.22,70,40,11.5,haze
250,Sobolevo,RU,54.4299,31.8996,30.06,95,99,14.27,overcast clouds
251,Nyazepetrovsk,RU,56.0531,59.6028,1.81,96,78,3.36,broken clouds
252,Saravan,AM,39.7196,45.6483,14.65,79,40,6.8,scattered clouds
253,Segezha,RU,63.7415,34.3222,19.31,92,100,13.89,light snow
254,Knysna,ZA,-34.0363,23.0471,66.58,58,0,4.52,clear sky
255,Santa Fe,AR,-31.6333,-60.7,60.91,79,0,6.67,clear sky
256,Taoudenni,ML,22.6783,-3.9836,64.72,14,7,10.18,clear sky
257,Codrington,AU,-38.2667,141.9667,83.23,28,0,9.04,clear sky
258,Port Shepstone,ZA,-30.7414,30.455,69.93,85,0,8.32,clear sky
259,Taihe,CN,30.8712,105.3845,40.44,89,99,5.82,overcast clouds
260,Conceicao Da Barra,BR,-18.5933,-39.7322,75.47,90,6,5.53,clear sky
261,Bismarck,US,46.8083,-100.7837,27.88,86,100,4.0,overcast clouds
262,Petrovsk-Zabaykalskiy,RU,51.273,108.843,11.68,79,77,4.43,broken clouds
263,Kharp,RU,66.8014,65.8081,-11.83,100,99,0.6,overcast clouds
264,Nowy Dwor Mazowiecki,PL,52.4302,20.7165,41.29,92,75,17.27,broken clouds
265,Bajil,YE,15.0584,43.2851,72.95,83,100,6.04,overcast clouds
266,Hajnowka,PL,52.7433,23.5812,37.02,87,100,1.99,overcast clouds
267,Mar Del Plata,AR,-38.0023,-57.5575,65.08,82,40,5.01,scattered clouds
268,Longyearbyen,SJ,78.2186,15.6401,19.24,68,0,5.75,clear sky
269,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,73.85,92,100,5.39,overcast clouds
270,Adrar,MR,20.5022,-10.0711,63.27,11,2,9.82,clear sky
271,Sile,TR,41.1754,29.6133,42.57,66,37,1.99,scattered clouds
272,Hasaki,JP,35.7333,140.8333,48.29,34,6,7.05,clear sky
273,Erdenet,MN,49.0333,104.0833,6.21,70,13,3.71,few clouds
274,Vestmannaeyjar,IS,63.4427,-20.2734,37.38,97,100,58.56,heavy intensity rain
275,Kytmanovo,RU,53.4593,85.4479,-1.07,97,100,1.59,overcast clouds
276,Tiarei,PF,-17.5333,-149.3333,86.0,75,61,20.76,light rain
277,Henties Bay,NA,-22.116,14.2845,67.86,83,93,5.19,overcast clouds
278,Muros,ES,42.7762,-9.0603,49.23,92,28,8.77,scattered clouds
279,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,3.44,clear sky
280,Tibu,CO,8.639,-72.7358,71.73,94,50,2.59,scattered clouds
281,Coquimbo,CL,-29.9533,-71.3436,64.13,82,100,3.44,overcast clouds
282,Umm Kaddadah,SD,13.6017,26.6876,52.2,31,62,14.14,broken clouds
283,Constantine,DZ,36.365,6.6147,38.61,93,20,0.0,few clouds
284,Prince Rupert,CA,54.3161,-130.3201,44.69,81,100,17.27,light rain
285,Robertsport,LR,6.7533,-11.3686,79.07,83,47,2.8,light rain
286,Port Hardy,CA,50.6996,-127.4199,46.76,81,75,20.71,light intensity shower rain
287,Trairi,BR,-3.2778,-39.2689,77.16,81,3,6.15,clear sky
288,Ixtapa,MX,20.7,-105.2,72.63,83,75,8.05,broken clouds
289,Pevek,RU,69.7008,170.3133,-23.37,98,27,0.92,scattered clouds
290,Awjilah,LY,29.1081,21.2869,55.51,32,1,6.87,clear sky
291,Viedma,AR,-40.8135,-62.9967,61.52,73,0,9.26,clear sky
