City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Doha,QA,60.69,clear sky,25.2867,51.5333,Movenpick Hotel Doha
210,Sumbe,AO,74.23,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
212,Collie,AU,64.98,scattered clouds,-33.3667,116.15,Collie Ridge
218,Agua Dulce,MX,64.09,broken clouds,18.1333,-94.1333,Hotel Victoria
219,Bredasdorp,ZA,65.28,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
222,Kantang,TH,86.09,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
223,Buin,CL,75.74,clear sky,-33.7333,-70.75,Paihuen
226,Gamba,GA,76.21,few clouds,-2.65,10.0,
227,Axim,GH,77.94,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
228,Mmabatho,ZA,60.76,few clouds,-25.85,25.6333,Mahikeng Guest Apartments
229,Ponta Delgada,PT,60.49,broken clouds,37.7333,-25.6667,Vila Nova Hotel
230,Numan,NG,68.05,clear sky,9.4667,12.0333,Zangun Motel
232,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
234,Filingue,NE,64.76,clear sky,14.3521,3.3168,
238,Butaritari,KI,81.84,moderate rain,3.0707,172.7902,Isles Sunset Lodge
240,Wanning,CN,74.86,broken clouds,18.8003,110.3967,Paradise Hotel
241,Sur,OM,69.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
242,Mega,ET,60.19,scattered clouds,4.05,38.3,Amanuel Guest House
243,Odweyne,SO,61.29,broken clouds,9.4092,45.064,Eng Hiirey House
244,Oudtshoorn,ZA,62.96,clear sky,-33.5907,22.2014,Earthbound Guest House
249,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
254,Knysna,ZA,66.58,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
255,Santa Fe,AR,60.91,clear sky,-31.6333,-60.7,Conquistador Hotel
256,Taoudenni,ML,64.72,clear sky,22.6783,-3.9836,
257,Codrington,AU,83.23,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
258,Port Shepstone,ZA,69.93,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
260,Conceicao Da Barra,BR,75.47,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
265,Bajil,YE,72.95,overcast clouds,15.0584,43.2851,فندق حضرموت
267,Mar Del Plata,AR,65.08,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
269,Rio Verde De Mato Grosso,BR,73.85,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
270,Adrar,MR,63.27,clear sky,20.5022,-10.0711,
276,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
279,Port Elizabeth,ZA,64.69,clear sky,-33.918,25.5701,39 On Nile Guest House
280,Tibu,CO,71.73,scattered clouds,8.639,-72.7358,Hotel Yuliana's
281,Coquimbo,CL,64.13,overcast clouds,-29.9533,-71.3436,Hostel Del Puerto
285,Robertsport,LR,79.07,light rain,6.7533,-11.3686,Kwepunha Retreat
287,Trairi,BR,77.16,clear sky,-3.2778,-39.2689,janelas do mar
288,Ixtapa,MX,72.63,broken clouds,20.7,-105.2,Hotel Plaza Providencia
291,Viedma,AR,61.52,clear sky,-40.8135,-62.9967,Hotel Cristal
293,Tezu,IN,61.83,clear sky,27.9167,96.1667,Circuit House
296,Bandarbeyla,SO,74.34,overcast clouds,9.4942,50.8122,JABIR HOTEL
298,Guerrero Negro,MX,60.46,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
299,Muriwai Beach,NZ,73.96,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
302,Luanda,AO,73.31,overcast clouds,-8.8368,13.2343,Hotel Fórum
305,Fare,PF,81.0,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
307,Neiafu,TO,75.88,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
310,Chiltepec,MX,62.74,broken clouds,18.4847,-96.9019,Santa Cruz Huitzmaloc
311,Fayaoue,NC,81.16,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
314,Mount Isa,AU,89.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
315,Hualmay,PE,70.59,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
317,Inirida,CO,75.87,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
318,Cananeia,BR,75.34,broken clouds,-25.0147,-47.9267,Pousada Ancoradouro
